filename,class,label,path
1-34094-A-5.npy,cat,0,data\processed\cat\1-34094-A-5.npy
1-34094-B-5.npy,cat,0,data\processed\cat\1-34094-B-5.npy
1-47819-A-5.npy,cat,0,data\processed\cat\1-47819-A-5.npy
1-47819-B-5.npy,cat,0,data\processed\cat\1-47819-B-5.npy
1-47819-C-5.npy,cat,0,data\processed\cat\1-47819-C-5.npy
1-56380-A-5.npy,cat,0,data\processed\cat\1-56380-A-5.npy
1-56380-B-5.npy,cat,0,data\processed\cat\1-56380-B-5.npy
1-79113-A-5.npy,cat,0,data\processed\cat\1-79113-A-5.npy
2-110010-A-5.npy,cat,0,data\processed\cat\2-110010-A-5.npy
2-110011-A-5.npy,cat,0,data\processed\cat\2-110011-A-5.npy
2-69131-A-5.npy,cat,0,data\processed\cat\2-69131-A-5.npy
2-69131-B-5.npy,cat,0,data\processed\cat\2-69131-B-5.npy
2-82274-A-5.npy,cat,0,data\processed\cat\2-82274-A-5.npy
2-82274-B-5.npy,cat,0,data\processed\cat\2-82274-B-5.npy
2-83934-A-5.npy,cat,0,data\processed\cat\2-83934-A-5.npy
2-83934-B-5.npy,cat,0,data\processed\cat\2-83934-B-5.npy
3-146964-A-5.npy,cat,0,data\processed\cat\3-146964-A-5.npy
3-146965-A-5.npy,cat,0,data\processed\cat\3-146965-A-5.npy
3-146972-A-5.npy,cat,0,data\processed\cat\3-146972-A-5.npy
3-95694-A-5.npy,cat,0,data\processed\cat\3-95694-A-5.npy
3-95695-A-5.npy,cat,0,data\processed\cat\3-95695-A-5.npy
3-95695-B-5.npy,cat,0,data\processed\cat\3-95695-B-5.npy
3-95697-A-5.npy,cat,0,data\processed\cat\3-95697-A-5.npy
3-95698-A-5.npy,cat,0,data\processed\cat\3-95698-A-5.npy
4-120160-A-5.npy,cat,0,data\processed\cat\4-120160-A-5.npy
4-133047-A-5.npy,cat,0,data\processed\cat\4-133047-A-5.npy
4-133047-B-5.npy,cat,0,data\processed\cat\4-133047-B-5.npy
4-133047-C-5.npy,cat,0,data\processed\cat\4-133047-C-5.npy
4-149940-A-5.npy,cat,0,data\processed\cat\4-149940-A-5.npy
4-149940-B-5.npy,cat,0,data\processed\cat\4-149940-B-5.npy
4-161303-A-5.npy,cat,0,data\processed\cat\4-161303-A-5.npy
4-161303-B-5.npy,cat,0,data\processed\cat\4-161303-B-5.npy
5-169983-A-5.npy,cat,0,data\processed\cat\5-169983-A-5.npy
5-172299-A-5.npy,cat,0,data\processed\cat\5-172299-A-5.npy
5-172639-A-5.npy,cat,0,data\processed\cat\5-172639-A-5.npy
5-177614-A-5.npy,cat,0,data\processed\cat\5-177614-A-5.npy
5-214759-A-5.npy,cat,0,data\processed\cat\5-214759-A-5.npy
5-214759-B-5.npy,cat,0,data\processed\cat\5-214759-B-5.npy
5-256452-A-5.npy,cat,0,data\processed\cat\5-256452-A-5.npy
5-259169-A-5.npy,cat,0,data\processed\cat\5-259169-A-5.npy
1-100032-A-0.npy,dog,1,data\processed\dog\1-100032-A-0.npy
1-110389-A-0.npy,dog,1,data\processed\dog\1-110389-A-0.npy
1-30226-A-0.npy,dog,1,data\processed\dog\1-30226-A-0.npy
1-30344-A-0.npy,dog,1,data\processed\dog\1-30344-A-0.npy
1-32318-A-0.npy,dog,1,data\processed\dog\1-32318-A-0.npy
1-59513-A-0.npy,dog,1,data\processed\dog\1-59513-A-0.npy
1-85362-A-0.npy,dog,1,data\processed\dog\1-85362-A-0.npy
1-97392-A-0.npy,dog,1,data\processed\dog\1-97392-A-0.npy
2-114280-A-0.npy,dog,1,data\processed\dog\2-114280-A-0.npy
2-114587-A-0.npy,dog,1,data\processed\dog\2-114587-A-0.npy
2-116400-A-0.npy,dog,1,data\processed\dog\2-116400-A-0.npy
2-117271-A-0.npy,dog,1,data\processed\dog\2-117271-A-0.npy
2-118072-A-0.npy,dog,1,data\processed\dog\2-118072-A-0.npy
2-118964-A-0.npy,dog,1,data\processed\dog\2-118964-A-0.npy
2-122104-A-0.npy,dog,1,data\processed\dog\2-122104-A-0.npy
2-122104-B-0.npy,dog,1,data\processed\dog\2-122104-B-0.npy
3-136288-A-0.npy,dog,1,data\processed\dog\3-136288-A-0.npy
3-144028-A-0.npy,dog,1,data\processed\dog\3-144028-A-0.npy
3-155312-A-0.npy,dog,1,data\processed\dog\3-155312-A-0.npy
3-157695-A-0.npy,dog,1,data\processed\dog\3-157695-A-0.npy
3-163459-A-0.npy,dog,1,data\processed\dog\3-163459-A-0.npy
3-170015-A-0.npy,dog,1,data\processed\dog\3-170015-A-0.npy
3-180256-A-0.npy,dog,1,data\processed\dog\3-180256-A-0.npy
3-180977-A-0.npy,dog,1,data\processed\dog\3-180977-A-0.npy
4-182395-A-0.npy,dog,1,data\processed\dog\4-182395-A-0.npy
4-183992-A-0.npy,dog,1,data\processed\dog\4-183992-A-0.npy
4-184575-A-0.npy,dog,1,data\processed\dog\4-184575-A-0.npy
4-191687-A-0.npy,dog,1,data\processed\dog\4-191687-A-0.npy
4-192236-A-0.npy,dog,1,data\processed\dog\4-192236-A-0.npy
4-194754-A-0.npy,dog,1,data\processed\dog\4-194754-A-0.npy
4-199261-A-0.npy,dog,1,data\processed\dog\4-199261-A-0.npy
4-207124-A-0.npy,dog,1,data\processed\dog\4-207124-A-0.npy
5-203128-A-0.npy,dog,1,data\processed\dog\5-203128-A-0.npy
5-203128-B-0.npy,dog,1,data\processed\dog\5-203128-B-0.npy
5-208030-A-0.npy,dog,1,data\processed\dog\5-208030-A-0.npy
5-212454-A-0.npy,dog,1,data\processed\dog\5-212454-A-0.npy
5-213855-A-0.npy,dog,1,data\processed\dog\5-213855-A-0.npy
5-217158-A-0.npy,dog,1,data\processed\dog\5-217158-A-0.npy
5-231762-A-0.npy,dog,1,data\processed\dog\5-231762-A-0.npy
5-9032-A-0.npy,dog,1,data\processed\dog\5-9032-A-0.npy
